Date,Cash,Equity,OpenPositions
2000-01-03,49802.38443106079,99800.00949972533,1
2000-01-04,49802.38443106079,103441.04123800658,1
2000-01-05,49802.38443106079,106304.02874868774,1
2000-01-06,49802.38443106079,108874.4802562561,1
2000-01-07,49802.38443106079,108776.97631948852,1
2000-01-10,49802.38443106079,104354.13318746947,1
2000-01-11,23610.26186074829,99894.39543618774,2
2000-01-12,23610.26186074829,102340.12997140503,2
2000-01-13,23610.26186074829,98244.63645066833,2
2000-01-14,23610.26186074829,98256.0285920105,2
2000-01-17,23610.26186074829,100287.60841645813,2
2000-01-18,23610.26186074829,99893.01635255432,2
2000-01-19,23610.26186074829,104174.5372399292,2
2000-01-20,11024.443580468494,102098.93323465188,7
2000-01-21,11002.759178169877,101073.92697132459,7
2000-01-24,10981.07477587126,102056.02422290706,7
2000-01-25,18335.341096173794,103566.38567603735,6
2000-01-26,18316.755615229682,103547.80019509324,6
2000-01-27,18298.17013428557,103454.7997518574,6
2000-01-28,18279.58465334146,105389.45008214681,6
2000-01-31,74185.90811570946,109315.33123239342,18
2000-02-01,74185.90811570946,109764.91670211617,18
2000-02-02,74185.90811570946,110695.04588302437,18
2000-02-03,25078.986351977543,109999.33283282394,6
2000-02-04,25058.767221863054,109838.44124263027,6
2000-02-07,25038.548091748566,114608.25984559378,6
2000-02-08,6431.804508019402,118381.50939564795,24
2000-02-09,113542.45101999753,113542.45101999753,0
2000-02-10,113542.45101999753,113542.45101999753,0
2000-02-11,113542.45101999753,113542.45101999753,0
2000-02-14,113542.45101999753,113542.45101999753,0
2000-02-15,25437.523821358627,113191.43537378783,3
2000-02-16,25437.523821358627,114984.97859430785,3
2000-02-17,8679.043304427676,115243.951647862,7
2000-02-18,113693.91249056775,113693.91249056775,0
2000-02-21,5042.646027361928,112806.14651039797,7
2000-02-22,5016.9880510564435,121035.7097417112,7
2000-02-23,4991.330074750959,121136.51170250136,7
2000-02-24,4965.672098445475,119066.96719818073,7
2000-02-25,4940.014122139991,119605.06392825801,7
2000-02-28,109438.65922296245,109438.65922296245,0
2000-02-29,109438.65922296245,109438.65922296245,0
2000-03-01,109438.65922296245,109438.65922296245,0
