Stock,Strategy,Rolling Window,Total days,Positive score days,Neutral score days,Negative score days,Average score,Max score,Min score,Score volatility (std dev)
SBIN_ohlcv,MACD,5,7408,1072,5263,1073,-0.0001349892008639309,1.0,-1.0,0.5381365154647106
SBIN_ohlcv,MACD,6,7408,1215,4976,1217,-0.0002699784017278618,1.0,-1.0,0.5730078408669709
SBIN_ohlcv,MACD,7,7408,1343,4719,1346,-0.00040496760259179265,1.0,-1.0,0.6025236948886487
SBIN_ohlcv,MACD,8,7408,1463,4478,1467,-0.0005399568034557236,1.0,-1.0,0.6289447232101564
SBIN_ohlcv,MACD,9,7408,1580,4243,1585,-0.0006749460043196544,1.0,-1.0,0.653680385053704
SBIN_ohlcv,MACD,10,7408,1687,4028,1693,-0.0008099352051835853,1.0,-1.0,0.6755179063479878
SBIN_ohlcv,MACD,11,7408,1776,3849,1783,-0.0009449244060475162,1.0,-1.0,0.6931742450681799
SBIN_ohlcv,MACD,12,7408,1853,3694,1861,-0.0010799136069114472,1.0,-1.0,0.708107627127345
SBIN_ohlcv,MACD,13,7408,1921,3557,1930,-0.001214902807775378,1.0,-1.0,0.7210493180495343
SBIN_ohlcv,MACD,14,7408,1976,3446,1986,-0.0013498920086393088,1.0,-1.0,0.731366937326042
SBIN_ohlcv,MACD,15,7408,2016,3365,2027,-0.0014848812095032398,1.0,-1.0,0.7388049916968784
SBIN_ohlcv,MACD,16,7408,2050,3296,2062,-0.0016198704103671706,1.0,-1.0,0.7450824846585119
SBIN_ohlcv,MACD,17,7408,2089,3218,2101,-0.0016198704103671706,1.0,-1.0,0.752116007093823
SBIN_ohlcv,MACD,18,7408,2123,3150,2135,-0.0016198704103671706,1.0,-1.0,0.7581945614778125
SBIN_ohlcv,MACD,19,7408,2150,3096,2162,-0.0016198704103671706,1.0,-1.0,0.7629871519407019
SBIN_ohlcv,MACD,20,7408,2174,3048,2186,-0.0016198704103671706,1.0,-1.0,0.7672220998160745
SBIN_ohlcv,RSI,5,7408,1030,5087,1291,-0.037122030237581,3.0,-3.0,0.6208204592471306
SBIN_ohlcv,RSI,6,7408,1194,4710,1504,-0.04454643628509719,3.0,-3.0,0.6967009062947703
SBIN_ohlcv,RSI,7,7408,1350,4353,1705,-0.05197084233261339,3.0,-3.0,0.768190257595521
SBIN_ohlcv,RSI,8,7408,1498,4024,1886,-0.05939524838012959,3.0,-3.0,0.8364152077277542
SBIN_ohlcv,RSI,9,7408,1637,3713,2058,-0.06681965442764579,4.0,-3.0,0.9022663416326799
SBIN_ohlcv,RSI,10,7408,1762,3432,2214,-0.074244060475162,4.0,-4.0,0.964410977425657
SBIN_ohlcv,RSI,11,7408,1872,3187,2349,-0.08166846652267819,4.0,-4.0,1.0243155935700394
SBIN_ohlcv,RSI,12,7408,1971,2970,2467,-0.08922786177105832,4.0,-4.0,1.082029179388363
SBIN_ohlcv,RSI,13,7408,2063,2769,2576,-0.09678725701943844,4.0,-4.0,1.1372412276756767
SBIN_ohlcv,RSI,14,7408,2141,2595,2672,-0.10434665226781857,4.0,-4.0,1.1895056645125766
SBIN_ohlcv,RSI,15,7408,2211,2444,2753,-0.1119060475161987,4.0,-4.0,1.2373420062902636
SBIN_ohlcv,RSI,16,7408,2272,2310,2826,-0.11946544276457884,4.0,-4.0,1.2836675953544159
SBIN_ohlcv,RSI,17,7408,2322,2201,2885,-0.12702483801295897,4.0,-4.0,1.3287420762720534
SBIN_ohlcv,RSI,18,7408,2359,2116,2933,-0.1345842332613391,4.0,-4.0,1.373180375793056
SBIN_ohlcv,RSI,19,7408,2388,2047,2973,-0.14214362850971923,5.0,-4.0,1.4165658963602348
SBIN_ohlcv,RSI,20,7408,2416,1984,3008,-0.1495680345572354,5.0,-5.0,1.4595152529362256
SBIN_ohlcv,Bollinger Bands,5,7408,769,5561,1078,-0.04927105831533477,2.0,-3.0,0.561466389955272
SBIN_ohlcv,Bollinger Bands,6,7408,894,5265,1249,-0.05912526997840173,3.0,-3.0,0.6272364475953355
SBIN_ohlcv,Bollinger Bands,7,7408,1010,4988,1410,-0.06897948164146868,3.0,-3.0,0.6903206938121818
SBIN_ohlcv,Bollinger Bands,8,7408,1125,4717,1566,-0.07883369330453564,4.0,-3.0,0.7494168673242524
